big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name,item_code,item_name
1,鲜果类,112,杂果类,11201,大樱桃,103743,A级-樱桃（小）
1,鲜果类,112,杂果类,11231,车厘子,103751,C级-进口金车厘子（大）
1,鲜果类,112,杂果类,11231,车厘子,103752,C级-进口金车厘子（中）
1,鲜果类,112,杂果类,11231,车厘子,103753,C级-进口金车厘子（小）
1,鲜果类,112,杂果类,11231,车厘子,103761,B级-国产金车厘子（大）
1,鲜果类,112,杂果类,11231,车厘子,103762,B级-国产金车厘子（中）
1,鲜果类,112,杂果类,11231,车厘子,103763,B级-国产金车厘子（小）
1,鲜果类,112,杂果类,11201,大樱桃,103771,A级-冰糖脆樱桃（大）
1,鲜果类,112,杂果类,11201,大樱桃,103772,A级-冰糖脆樱桃（中）
1,鲜果类,112,杂果类,11201,大樱桃,103773,A级-冰糖脆樱桃（小）
1,鲜果类,104,桃类,10410,黄金桃,103781,A级-黄桃（大）
1,鲜果类,104,桃类,10410,黄金桃,103782,A级-黄桃（中）
1,鲜果类,104,桃类,10410,黄金桃,103783,A级-黄桃（小）
1,鲜果类,112,杂果类,11201,大樱桃,103791,A级-金樱桃（大）
1,鲜果类,112,杂果类,11201,大樱桃,103792,A级-金樱桃（中）
1,鲜果类,112,杂果类,11201,大樱桃,103793,A级-金樱桃（小）
1,鲜果类,105,柑桔类,10524,赣南脐橙,103795,可用
1,鲜果类,104,桃类,10408,水蜜桃,103801,A级-阳山水蜜桃礼盒（4粒）
1,鲜果类,104,桃类,10408,水蜜桃,103802,A级-阳山水蜜桃礼盒（6粒）
1,鲜果类,104,桃类,10408,水蜜桃,103803,A级-阳山水蜜桃礼盒（8粒）
1,鲜果类,104,桃类,10403,油桃,103811,A级-进口油桃
1,鲜果类,104,桃类,10403,油桃,103812,B级-进口油桃
1,鲜果类,104,桃类,10403,油桃,103813,C级-进口油桃
1,鲜果类,104,桃类,10410,黄金桃,103821,A级-黄金桃（大）
1,鲜果类,104,桃类,10410,黄金桃,103822,A级-黄金桃（中）
1,鲜果类,104,桃类,10410,黄金桃,103823,A级-黄金桃（小）
1,鲜果类,112,杂果类,11201,大樱桃,103831,A级-珍珠樱桃（大）
1,鲜果类,112,杂果类,11201,大樱桃,103832,A级-珍珠樱桃（中）
1,鲜果类,112,杂果类,11201,大樱桃,103833,A级-珍珠樱桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103841,B级-阳山水蜜桃礼盒（4粒）
1,鲜果类,104,桃类,10408,水蜜桃,103842,B级-阳山水蜜桃礼盒（6粒）
1,鲜果类,104,桃类,10408,水蜜桃,103843,B级-阳山水蜜桃礼盒（8粒）
1,鲜果类,104,桃类,10404,蟠桃,103852,B级-黄蟠桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103861,C级-水蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103862,C级-水蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103863,C级-水蜜桃（小）
