big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name
1,鲜果类,110,瓜类,11057,白玉龙蜜瓜
1,鲜果类,112,杂果类,11213,山竹
1,鲜果类,112,杂果类,11914,榴莲
1,鲜果类,105,柑桔类,10548,福建脐橙
1,鲜果类,102,梨类,10217,黄金梨
1,鲜果类,110,瓜类,11014,新红宝有籽瓜
1,鲜果类,105,柑桔类,10538,佛手柑
1,鲜果类,106,荔果类,10604,白糖婴荔枝
1,鲜果类,110,瓜类,11051,流星雨香瓜
1,鲜果类,112,杂果类,11256,草莓
1,鲜果类,102,梨类,10201,雪梨
1,鲜果类,103,李类,10320,花李
1,鲜果类,110,瓜类,11030,黑皮有籽瓜
1,鲜果类,105,柑桔类,10524,赣南脐橙
1,鲜果类,112,杂果类,11255,红钻石莲雾
1,鲜果类,103,李类,10306,南华李
1,鲜果类,105,柑桔类,10510,进口澳洲橙
1,鲜果类,107,葡萄类,10702,进口青提
1,鲜果类,105,柑桔类,10512,青桔
1,鲜果类,108,芒果类,10816,进口红芒
1,鲜果类,112,杂果类,11234,蜜枣
1,鲜果类,1,鲜果类,107,葡萄类
1,鲜果类,107,葡萄类,10723,香槟迷你提
1,鲜果类,105,柑桔类,10518,精品蜜柚
1,鲜果类,105,柑桔类,10540,年桔
1,鲜果类,110,瓜类,11022,金元宝蜜瓜
1,鲜果类,110,瓜类,11020,夏威夷木瓜
1,鲜果类,106,荔果类,10622,海南红毛丹
1,鲜果类,110,瓜类,11032,伽师瓜
1,鲜果类,107,葡萄类,10712,玫瑰香葡萄
1,鲜果类,109,香蕉类,10903,进口皇帝蕉
1,鲜果类,101,苹果类,10108,新西兰苹果
1,鲜果类,105,柑桔类,10553,袋装脐橙
3,干果类,301,干果类,30101,干果类
1,鲜果类,112,杂果类,11243,金奇异果
1,鲜果类,101,苹果类,10137,进口迷你小苹果
1,鲜果类,101,苹果类,10127,水晶秦冠苹果
1,鲜果类,106,荔果类,10606,白腊荔枝
2,加工食品类,203,果饮类,20301,果汁类
1,鲜果类,104,桃类,10408,水蜜桃
1,鲜果类,108,芒果类,10829,树上熟香芒
1,鲜果类,103,李类,10325,恐龙蛋李
1,鲜果类,106,荔果类,10624,储良龙眼
1,鲜果类,112,杂果类,11259,进口大杨桃
1,鲜果类,101,苹果类,10106,秦冠苹果
1,鲜果类,102,梨类,10219,二十一世纪梨
1,鲜果类,105,柑桔类,10582,非称重柑桔类
1,鲜果类,109,香蕉类,10909,都乐吕宋蕉
1,鲜果类,1,鲜果类,106,荔果类
1,鲜果类,110,瓜类,11058,金太阳蜜瓜
1,鲜果类,102,梨类,10222,进口天堂梨
1,鲜果类,107,葡萄类,10708,红提
1,鲜果类,112,杂果类,11214,龙珠果
1,鲜果类,101,苹果类,10118,水晶嘎啦
1,鲜果类,103,李类,10321,杏李
1,鲜果类,101,苹果类,10120,蛇果
1,鲜果类,112,杂果类,11271,空运山竹
1,鲜果类,1,鲜果类,114,珍稀果品类
1,鲜果类,103,李类,10332,樱桃李
1,鲜果类,110,瓜类,11061,有机木瓜
1,鲜果类,112,杂果类,11225,熟板栗
1,鲜果类,107,葡萄类,10720,天山珍珠红
1,鲜果类,106,荔果类,10620,进口红毛丹
1,鲜果类,105,柑桔类,10535,带叶赣南脐橙
1,鲜果类,105,柑桔类,10543,发财柑
1,鲜果类,112,杂果类,11284,牛奶果
1,鲜果类,105,柑桔类,10504,进口柠檬
1,鲜果类,112,杂果类,11204,金枕榴莲
2,加工食品类,201,拼盘类,20101,拼盘类
1,鲜果类,112,杂果类,11209,杨桃
1,鲜果类,110,瓜类,11005,黄肉西瓜
1,鲜果类,108,芒果类,10825,进口大黄金芒
1,鲜果类,105,柑桔类,10537,澳洲柑
1,鲜果类,105,柑桔类,10580,沃柑
1,鲜果类,103,李类,10329,进口血丝李
1,鲜果类,109,香蕉类,10905,米蕉
1,鲜果类,112,杂果类,11244,牛腰果
1,鲜果类,101,苹果类,10126,脆甜苹果
1,鲜果类,101,苹果类,10115,红星苹果
1,鲜果类,109,香蕉类,10910,都乐皇帝蕉
1,鲜果类,101,苹果类,10111,金帅
1,鲜果类,107,葡萄类,10704,进口无核青提
1,鲜果类,105,柑桔类,10559,台湾碰柑
1,鲜果类,112,杂果类,11906,野生尜尜枣
1,鲜果类,110,瓜类,11050,黑皮无籽瓜
1,鲜果类,107,葡萄类,10716,北疆红提
1,鲜果类,112,杂果类,11257,香草莓
1,鲜果类,107,葡萄类,10721,无核紫提
1,鲜果类,112,杂果类,11242,奇异果
1,鲜果类,105,柑桔类,10536,皇帝柑
1,鲜果类,102,梨类,10220,红啤梨
1,鲜果类,110,瓜类,11042,西州蜜瓜
1,鲜果类,104,桃类,10406,红心桃
1,鲜果类,101,苹果类,10134,有机苹果
1,鲜果类,102,梨类,10202,啤梨
2,加工食品类,202,沙拉类,20201,沙拉类
1,鲜果类,112,杂果类,11291,红宝石莲雾
1,鲜果类,102,梨类,10233,玉露甜梨
1,鲜果类,110,瓜类,11017,白香瓜
2,加工食品类,2,加工食品类,203,果饮类
1,鲜果类,105,柑桔类,10533,碰柑
1,鲜果类,101,苹果类,10101,红富士
1,鲜果类,110,瓜类,11004,京欣西瓜
1,鲜果类,110,瓜类,11026,压砂瓜
1,鲜果类,112,杂果类,11249,山楂（鲜果）
1,鲜果类,101,苹果类,10141,千雪苹果
1,鲜果类,106,荔果类,10623,鸡旦荔枝
1,鲜果类,103,李类,10309,金沙李
1,鲜果类,105,柑桔类,10555,泰国红心柚
1,鲜果类,103,李类,10303,桃布李
1,鲜果类,101,苹果类,10113,嘎啦苹果
1,鲜果类,105,柑桔类,10544,春甜桔
1,鲜果类,112,杂果类,11900,台湾凤梨
1,鲜果类,110,瓜类,11049,沙白香瓜
1,鲜果类,105,柑桔类,10509,丑桔
1,鲜果类,110,瓜类,11034,红玉木瓜
1,鲜果类,112,杂果类,11217,圣女果
1,鲜果类,105,柑桔类,10545,带叶春甜桔
2,加工食品类,209,水果轻食类,20902,鲜果小吃类
